Train,Time,Track,Station,Accessible
Newark Penn,4:10 PM,Track 2,Raritan Station,False
Newark Penn,5:23 PM,Track 2,Raritan Station,False
High Bridge,5:45 PM,Track 1,Raritan Station,False
Newark Penn,5:52 PM,Track 2,Raritan Station,False
High Bridge,6:21 PM,Track 1,Raritan Station,False
New York -SEC,6:49 PM,Track 2,Raritan Station,False
High Bridge,7:12 PM,Track 1,Raritan Station,False
New York -SEC,7:56 PM,Track 2,Raritan Station,False
High Bridge,8:10 PM,Track 1,Raritan Station,False
New York -SEC,8:47 PM,Track 2,Raritan Station,False
New York -SEC ✈,11:06 AM,Track 2,Red Bank Station,True
Long Branch,11:11 AM,Track 1,Red Bank Station,True
New York -SEC ✈,12:03 PM,Track 2,Red Bank Station,True
Long Branch,12:07 PM,Track 1,Red Bank Station,True
Long Branch,12:50 PM,Track 1,Red Bank Station,True
New York -SEC ✈,1:03 PM,Track 2,Red Bank Station,True
Long Branch,1:32 PM,Track 1,Red Bank Station,True
New York -SEC ✈,2:04 PM,Track 2,Red Bank Station,True
Long Branch,2:09 PM,Track 1,Red Bank Station,True
New York -SEC ✈,3:01 PM,Track 2,Red Bank Station,True
Long Branch,3:08 PM,Track 1,Red Bank Station,True
New York -SEC ✈,3:55 PM,Track 2,Red Bank Station,True
Long Branch,4:08 PM,Track 1,Red Bank Station,True
Long Branch,4:55 PM,Track 1,Red Bank Station,True
New York -SEC ✈,4:56 PM,Track 2,Red Bank Station,True
Bay Head,5:45 PM,Track 1,Red Bank Station,True
New York -SEC ✈,5:49 PM,Track 2,Red Bank Station,True
Bay Head,6:17 PM,Track 1,Red Bank Station,True
New York -SEC,6:26 PM,Track 2,Red Bank Station,True
Port Jervis,"10:29 AM
           All Aboard",Track 3,Ridgewood Station,False
Hoboken -SEC,11:19 AM,Track 2,Ridgewood Station,False
Hoboken -SEC,11:26 AM,Track 2,Ridgewood Station,False
Suffern,11:31 AM,Track 3,Ridgewood Station,False
Hoboken -SEC,12:19 PM,Track 2,Ridgewood Station,False
Hoboken -SEC,12:25 PM,Track 2,Ridgewood Station,False
Suffern,12:31 PM,Track 3,Ridgewood Station,False
Middletown,1:13 PM,Track 1,Ridgewood Station,False
Hoboken -SEC,1:19 PM,Track 2,Ridgewood Station,False
Suffern,1:22 PM,Track 3,Ridgewood Station,False
Hoboken -SEC,1:26 PM,Track 2,Ridgewood Station,False
Waldwick,1:32 PM,Track 3,Ridgewood Station,False
Hoboken -SEC,2:17 PM,Track 2,Ridgewood Station,False
Hoboken -SEC,2:22 PM,Track 2,Ridgewood Station,False
Suffern,2:23 PM,Track 3,Ridgewood Station,False
Waldwick,2:30 PM,Track 3,Ridgewood Station,False
Hoboken -SEC,3:11 PM,Track 2,Ridgewood Station,False
Suffern,3:19 PM,Track 3,Ridgewood Station,False
Hoboken -SEC,3:20 PM,Track 2,Ridgewood Station,False
Spring Valley,"10:33 AM
           in 7 Min",Track Single,River Edge Station,False
Hoboken -SEC,11:28 AM,Track Single,River Edge Station,False
Spring Valley,11:57 AM,Track Single,River Edge Station,False
Hoboken -SEC,12:53 PM,Track Single,River Edge Station,False
Spring Valley,1:07 PM,Track Single,River Edge Station,False
Spring Valley,2:25 PM,Track Single,River Edge Station,False
Hoboken -SEC,3:19 PM,Track Single,River Edge Station,False
Spring Valley,3:31 PM,Track Single,River Edge Station,False
Hoboken -SEC,4:27 PM,Track Single,River Edge Station,False
Spring Valley,4:40 PM,Track Single,River Edge Station,False
Spring Valley,5:16 PM,Track Single,River Edge Station,False
Spring Valley,5:39 PM,Track Single,River Edge Station,False
Spring Valley,6:19 PM,Track Single,River Edge Station,False
Spring Valley,6:38 PM,Track Single,River Edge Station,False
Spring Valley,6:57 PM,Track Single,River Edge Station,False
Spring Valley,7:26 PM,Track Single,River Edge Station,False
Spring Valley,8:06 PM,Track Single,River Edge Station,False
Spring Valley,8:59 PM,Track Single,River Edge Station,False
Hoboken -SEC,9:50 PM,Track Single,River Edge Station,False
New York -SEC,"10:36 AM
           in 6 Min",Track 1,Roselle Park Station,False
Raritan,11:12 AM,Track 1,Roselle Park Station,False
New York -SEC,11:32 AM,Track 1,Roselle Park Station,False
Raritan,12:12 PM,Track 1,Roselle Park Station,False
New York -SEC,12:32 PM,Track 1,Roselle Park Station,False
High Bridge,1:14 PM,Track 1,Roselle Park Station,False
New York -SEC,1:34 PM,Track 1,Roselle Park Station,False
Raritan,2:12 PM,Track 1,Roselle Park Station,False
Newark Penn,2:33 PM,Track 1,Roselle Park Station,False
High Bridge,3:13 PM,Track 1,Roselle Park Station,False
Newark Penn,3:33 PM,Track 1,Roselle Park Station,False
Newark Penn,4:18 PM,Track 2,Roselle Park Station,False
Raritan,4:24 PM,Track 1,Roselle Park Station,False
Newark Penn,4:54 PM,Track 2,Roselle Park Station,False
High Bridge,4:58 PM,Track 1,Roselle Park Station,False
Raritan,5:29 PM,Track 1,Roselle Park Station,False
Raritan,5:57 PM,Track 1,Roselle Park Station,False
Newark Penn,6:07 PM,Track 1,Roselle Park Station,False
Raritan,6:18 PM,Track 1,Roselle Park Station,False
Hoboken -SEC,"10:51 AM
           in 23 Min",Track 2,Rutherford Station,False
Ridgewood,10:58 AM,Track 1,Rutherford Station,False
Hoboken -SEC,11:52 AM,Track 2,Rutherford Station,False
Ridgewood,11:58 AM,Track 1,Rutherford Station,False
Hoboken -SEC,12:51 PM,Track 2,Rutherford Station,False
Suffern,12:58 PM,Track 1,Rutherford Station,False
Hoboken -SEC,1:53 PM,Track 2,Rutherford Station,False
Suffern,1:58 PM,Track 1,Rutherford Station,False
Hoboken -SEC,2:47 PM,Track 2,Rutherford Station,False
Suffern,2:54 PM,Track 1,Rutherford Station,False
Suffern,3:40 PM,Track 1,Rutherford Station,False
Hoboken -SEC,3:59 PM,Track 2,Rutherford Station,False
Waldwick,4:38 PM,Track 1,Rutherford Station,False
Hoboken -SEC,5:14 PM,Track 2,Rutherford Station,False
Ridgewood,5:16 PM,Track 1,Rutherford Station,False
Waldwick,5:47 PM,Track 1,Rutherford Station,False
Hoboken -SEC,6:03 PM,Track 2,Rutherford Station,False
Waldwick,6:22 PM,Track 1,Rutherford Station,False
Suffern,6:56 PM,Track 1,Rutherford Station,False
Port Jervis,11:29 AM,Track Single,Salisbury Mills Cornwall Station,True
Hoboken -SEC,12:27 PM,Track Single,Salisbury Mills Cornwall Station,True
Middletown,2:05 PM,Track Single,Salisbury Mills Cornwall Station,True
Hoboken -SEC,2:27 PM,Track Single,Salisbury Mills Cornwall Station,True
Hoboken -SEC,3:39 PM,Track Single,Salisbury Mills Cornwall Station,True
Middletown,4:04 PM,Track Single,Salisbury Mills Cornwall Station,True
Port Jervis,5:27 PM,Track Single,Salisbury Mills Cornwall Station,True
Port Jervis,6:08 PM,Track Single,Salisbury Mills Cornwall Station,True
Port Jervis,6:37 PM,Track Single,Salisbury Mills Cornwall Station,True
Port Jervis,7:08 PM,Track Single,Salisbury Mills Cornwall Station,True
Port Jervis,7:32 PM,Track Single,Salisbury Mills Cornwall Station,True
Port Jervis,7:50 PM,Track Single,Salisbury Mills Cornwall Station,True
Port Jervis,8:20 PM,Track Single,Salisbury Mills Cornwall Station,True
Port Jervis,9:15 PM,Track Single,Salisbury Mills Cornwall Station,True
Hoboken -SEC,10:16 PM,Track Single,Salisbury Mills Cornwall Station,True
Port Jervis,11:44 PM,Track Single,Salisbury Mills Cornwall Station,True
Port Jervis,2:24 AM,Track Single,Salisbury Mills Cornwall Station,True
Meadowlands,"10:28 AM
           All Aboard",Track G,Secaucus Junction Lower Level,True
Meadowlands,10:38 AM,Track H,Secaucus Junction Lower Level,True
Meadowlands,10:48 AM,Track G,Secaucus Junction Lower Level,True
Ridgewood,10:50 AM,Track F,Secaucus Junction Lower Level,True
Hoboken,"10:54 AM
           in 28 Min",Track E,Secaucus Junction Lower Level,True
Suffern,10:56 AM,Track F,Secaucus Junction Lower Level,True
Meadowlands,10:58 AM,Track H,Secaucus Junction Lower Level,True
Hoboken,11:01 AM,Track E,Secaucus Junction Lower Level,True
Meadowlands,11:08 AM,Track H,Secaucus Junction Lower Level,True
Meadowlands,11:18 AM,Track H,Secaucus Junction Lower Level,True
Hoboken,11:26 AM,Track E,Secaucus Junction Lower Level,True
Spring Valley,11:28 AM,Track F,Secaucus Junction Lower Level,True
Meadowlands,11:28 AM,Track H,Secaucus Junction Lower Level,True
Meadowlands,11:38 AM,Track H,Secaucus Junction Lower Level,True
Meadowlands,11:48 AM,Track H,Secaucus Junction Lower Level,True
Ridgewood,11:50 AM,Track F,Secaucus Junction Lower Level,True
Hoboken,11:53 AM,Track E,Secaucus Junction Lower Level,True
Hoboken,11:54 AM,Track E,Secaucus Junction Lower Level,True
Suffern,11:56 AM,Track F,Secaucus Junction Lower Level,True
New York,"10:25 AM
           in 5 Min",Track A,Secaucus Junction Upper Level,True
Secaucus,"10:28 AM
           All Aboard",Track A,Secaucus Junction Upper Level,True
MSU,"10:38 AM
           in 7 Min",Track B,Secaucus Junction Upper Level,True
New York,"10:41 AM
           in 10 Min",Track A,Secaucus Junction Upper Level,True
Trenton ✈,10:43 AM,Track B,Secaucus Junction Upper Level,True
New York,"10:44 AM
           in 13 Min",Track A,Secaucus Junction Upper Level,True
Raritan,10:49 AM,Track B,Secaucus Junction Upper Level,True
Long Branch ✈,10:53 AM,Track B,Secaucus Junction Upper Level,True
Dover,10:56 AM,Track B,Secaucus Junction Upper Level,True
New York,"10:58 AM
           in 28 Min",Track A,Secaucus Junction Upper Level,True
New York,"11:01 AM
           in 30 Min",Track A,Secaucus Junction Upper Level,True
New York,11:05 AM,Track A,Secaucus Junction Upper Level,True
New York,11:15 AM,Track A,Secaucus Junction Upper Level,True
Trenton ✈,11:19 AM,Track B,Secaucus Junction Upper Level,True
New York,11:20 AM,Track A,Secaucus Junction Upper Level,True
New York,11:31 AM,Track A,Secaucus Junction Upper Level,True
Long Branch ✈,11:33 AM,Track B,Secaucus Junction Upper Level,True
New York,11:35 AM,Track A,Secaucus Junction Upper Level,True
MSU,11:38 AM,Track B,Secaucus Junction Upper Level,True
New York -SEC,"10:32 AM
           in 2 Min",Track 2,Short Hills Station,False
Dover,"10:47 AM
           in 16 Min",Track 1,Short Hills Station,False
Hoboken,"10:54 AM
           in 23 Min",Track 2,Short Hills Station,False
Gladstone,11:18 AM,Track 1,Short Hills Station,False
Dover,11:29 AM,Track 1,Short Hills Station,False
New York -SEC,11:33 AM,Track 2,Short Hills Station,False
Hoboken,11:47 AM,Track 2,Short Hills Station,False
Gladstone,12:18 PM,Track 1,Short Hills Station,False
Dover,12:29 PM,Track 1,Short Hills Station,False
New York -SEC,12:40 PM,Track 2,Short Hills Station,False
Hoboken,12:47 PM,Track 2,Short Hills Station,False
Hoboken,1:15 PM,Track 2,Short Hills Station,False
Gladstone,1:18 PM,Track 1,Short Hills Station,False
Dover,1:30 PM,Track 1,Short Hills Station,False
New York -SEC,1:40 PM,Track 2,Short Hills Station,False
Hoboken,1:47 PM,Track 2,Short Hills Station,False
Gladstone,2:18 PM,Track 1,Short Hills Station,False
Dover,2:36 PM,Track 1,Short Hills Station,False
New York,2:40 PM,Track 2,Short Hills Station,False
Hoboken -SEC,"10:43 AM
           in 14 Min",Track Single,Sloatsburg Station,False
Port Jervis,"10:58 AM
           in 27 Min",Track Single,Sloatsburg Station,False
Hoboken -SEC,12:57 PM,Track Single,Sloatsburg Station,False
Middletown,1:34 PM,Track Single,Sloatsburg Station,False
Hoboken -SEC,2:58 PM,Track Single,Sloatsburg Station,False
Middletown,3:32 PM,Track Single,Sloatsburg Station,False
Hoboken -SEC,4:12 PM,Track Single,Sloatsburg Station,False
Port Jervis,4:56 PM,Track Single,Sloatsburg Station,False
Port Jervis,5:37 PM,Track Single,Sloatsburg Station,False
Port Jervis,6:07 PM,Track Single,Sloatsburg Station,False
Port Jervis,6:37 PM,Track Single,Sloatsburg Station,False
Port Jervis,7:19 PM,Track Single,Sloatsburg Station,False
Port Jervis,7:49 PM,Track Single,Sloatsburg Station,False
Port Jervis,8:45 PM,Track Single,Sloatsburg Station,False
Hoboken -SEC,10:45 PM,Track Single,Sloatsburg Station,False
Port Jervis,11:13 PM,Track Single,Sloatsburg Station,False
Port Jervis,1:53 AM,Track Single,Sloatsburg Station,False
New York -SEC,"10:49 AM
           in 18 Min",Track 2,Somerville Station,True
High Bridge,"10:56 AM
           in 25 Min",Track 1,Somerville Station,True
New York -SEC,11:49 AM,Track 2,Somerville Station,True
Raritan,11:53 AM,Track 1,Somerville Station,True
New York -SEC,12:52 PM,Track 2,Somerville Station,True
Raritan,12:53 PM,Track 1,Somerville Station,True
Newark Penn,1:50 PM,Track 2,Somerville Station,True
High Bridge,1:54 PM,Track 1,Somerville Station,True
Newark Penn,2:50 PM,Track 2,Somerville Station,True
Raritan,2:53 PM,Track 1,Somerville Station,True
Newark Penn,3:36 PM,Track 2,Somerville Station,True
High Bridge,3:52 PM,Track 1,Somerville Station,True
Newark Penn,4:13 PM,Track 2,Somerville Station,True
Raritan,5:07 PM,Track 1,Somerville Station,True
Newark Penn,5:26 PM,Track 2,Somerville Station,True
High Bridge,5:42 PM,Track 1,Somerville Station,True
Newark Penn,5:55 PM,Track 2,Somerville Station,True
Raritan,6:08 PM,Track 1,Somerville Station,True
High Bridge,6:18 PM,Track 1,Somerville Station,True
Long Branch,"10:47 AM
           in 21 Min",Track 2,South Amboy Station,True
New York -SEC ✈,11:32 AM,Track 2,South Amboy Station,True
Long Branch,11:43 AM,Track 2,South Amboy Station,True
Long Branch,12:26 PM,Track 2,South Amboy Station,True
New York -SEC ✈,12:28 PM,Track 2,South Amboy Station,True
Long Branch,1:08 PM,Track 2,South Amboy Station,True
New York -SEC ✈,1:28 PM,Track 2,South Amboy Station,True
Long Branch,1:46 PM,Track 2,South Amboy Station,True
New York -SEC ✈,2:29 PM,Track 2,South Amboy Station,True
Long Branch,2:42 PM,Track 2,South Amboy Station,True
New York -SEC ✈,3:26 PM,Track 2,South Amboy Station,True
Long Branch,3:43 PM,Track 1,South Amboy Station,True
New York -SEC ✈,4:21 PM,Track 2,South Amboy Station,True
Long Branch,4:31 PM,Track 1,South Amboy Station,True
New York -SEC,4:44 PM,Track 2,South Amboy Station,True
New York -SEC ✈,5:20 PM,Track 2,South Amboy Station,True
Bay Head,5:21 PM,Track 1,South Amboy Station,True
New York -SEC ✈,5:41 PM,Track 2,South Amboy Station,True
Bay Head,5:51 PM,Track 1,South Amboy Station,True
Dover,"10:37 AM
           in 9 Min",Track 3,South Orange Station,True
New York -SEC,"10:42 AM
           in 11 Min",Track 2,South Orange Station,True
Hoboken,11:03 AM,Track 2,South Orange Station,True
Gladstone,11:10 AM,Track 3,South Orange Station,True
Dover,11:19 AM,Track 3,South Orange Station,True
New York -SEC,11:43 AM,Track 2,South Orange Station,True
Hoboken,11:56 AM,Track 2,South Orange Station,True
Gladstone,12:10 PM,Track 3,South Orange Station,True
Dover,12:19 PM,Track 3,South Orange Station,True
New York -SEC,12:50 PM,Track 2,South Orange Station,True
Hoboken,12:57 PM,Track 2,South Orange Station,True
Gladstone,1:10 PM,Track 3,South Orange Station,True
Dover,1:20 PM,Track 3,South Orange Station,True
Hoboken,1:25 PM,Track 2,South Orange Station,True
New York -SEC,1:50 PM,Track 2,South Orange Station,True
Hoboken,1:57 PM,Track 2,South Orange Station,True
Gladstone,2:10 PM,Track 3,South Orange Station,True
Dover,2:25 PM,Track 3,South Orange Station,True
New York,2:50 PM,Track 2,South Orange Station,True
Long Branch,11:21 AM,Track 2,Spring Lake Station,False
Bay Head,11:51 AM,Track 1,Spring Lake Station,False
Bay Head,12:49 PM,Track 1,Spring Lake Station,False
Long Branch,1:22 PM,Track 2,Spring Lake Station,False
Bay Head,2:49 PM,Track 1,Spring Lake Station,False
Long Branch,3:13 PM,Track 2,Spring Lake Station,False
Long Branch,4:13 PM,Track 2,Spring Lake Station,False
Bay Head,4:49 PM,Track 1,Spring Lake Station,False
Bay Head,5:38 PM,Track 1,Spring Lake Station,False
Long Branch,5:43 PM,Track 2,Spring Lake Station,False
Bay Head,6:21 PM,Track 1,Spring Lake Station,False
Bay Head,6:52 PM,Track 1,Spring Lake Station,False
Bay Head,7:33 PM,Track 1,Spring Lake Station,False
Long Branch,7:38 PM,Track 2,Spring Lake Station,False
Bay Head,7:48 PM,Track 1,Spring Lake Station,False
Bay Head,8:24 PM,Track 1,Spring Lake Station,False
Long Branch,8:39 PM,Track 2,Spring Lake Station,False
Bay Head,8:55 PM,Track 1,Spring Lake Station,False
Bay Head,10:22 PM,Track 1,Spring Lake Station,False
Hoboken -SEC,10:55 AM,Track Si,Spring Valley Station,True
Hoboken -SEC,12:20 PM,Track Si,Spring Valley Station,True
Hoboken -SEC,1:31 PM,Track Si,Spring Valley Station,True
Hoboken -SEC,2:46 PM,Track Si,Spring Valley Station,True
Hoboken -SEC,3:54 PM,Track Si,Spring Valley Station,True
Hoboken -SEC,9:14 PM,Track Si,Spring Valley Station,True
Hoboken -SEC,12:05 AM,Track Si,Spring Valley Station,True
Gladstone,"10:42 AM
           in 10 Min",Track Single,Stirling Station,False
Hoboken,11:23 AM,Track Single,Stirling Station,False
Gladstone,11:42 AM,Track Single,Stirling Station,False
Hoboken,12:23 PM,Track Single,Stirling Station,False
Gladstone,12:42 PM,Track Single,Stirling Station,False
Hoboken,1:23 PM,Track Single,Stirling Station,False
Gladstone,1:42 PM,Track Single,Stirling Station,False
Hoboken,2:23 PM,Track Single,Stirling Station,False
Gladstone,2:42 PM,Track Single,Stirling Station,False
Hoboken,3:21 PM,Track Single,Stirling Station,False
Gladstone,3:44 PM,Track Single,Stirling Station,False
Bernardsville,4:29 PM,Track Single,Stirling Station,False
Hoboken,4:30 PM,Track Siding,Stirling Station,False
Gladstone,5:22 PM,Track Single,Stirling Station,False
Hoboken,5:23 PM,Track Siding,Stirling Station,False
Gladstone,5:59 PM,Track Single,Stirling Station,False
Gladstone,6:21 PM,Track Single,Stirling Station,False
Gladstone,6:34 PM,Track Single,Stirling Station,False
Gladstone,6:55 PM,Track Single,Stirling Station,False
Hoboken -SEC,"10:50 AM
           in 21 Min",Track 2,Suffern Station,False
Port Jervis,"10:51 AM
           in 19 Min",Track 1,Suffern Station,False
Hoboken -SEC,10:56 AM,Track 2,Suffern Station,False
Hoboken -SEC,11:56 AM,Track 2,Suffern Station,False
Hoboken -SEC,12:56 PM,Track 2,Suffern Station,False
Hoboken -SEC,1:04 PM,Track 2,Suffern Station,False
Middletown,1:27 PM,Track 1,Suffern Station,False
Hoboken -SEC,1:54 PM,Track 2,Suffern Station,False
Hoboken -SEC,2:49 PM,Track 2,Suffern Station,False
Hoboken -SEC,3:06 PM,Track 2,Suffern Station,False
Hoboken -SEC,3:11 PM,Track 2,Suffern Station,False
Middletown,3:25 PM,Track 1,Suffern Station,False
Hoboken -SEC,4:07 PM,Track 2,Suffern Station,False
Hoboken -SEC,4:20 PM,Track 2,Suffern Station,False
Hoboken -SEC,4:26 PM,Track 2,Suffern Station,False
Port Jervis,4:49 PM,Track 1,Suffern Station,False
Hoboken -SEC,4:57 PM,Track 2,Suffern Station,False
Port Jervis,5:30 PM,Track 1,Suffern Station,False
Hoboken -SEC,5:48 PM,Track 2,Suffern Station,False
New York -SEC,"10:46 AM
           in 13 Min",Track 2,Summit Station,True
Hoboken,"10:49 AM
           in 18 Min",Track W,Summit Station,True
Dover,"10:52 AM
           in 20 Min",Track 1,Summit Station,True
Gladstone,11:23 AM,Track 1,Summit Station,True
New York -SEC,11:29 AM,Track 2,Summit Station,True
Dover,11:34 AM,Track 1,Summit Station,True
Hoboken,11:42 AM,Track W,Summit Station,True
Gladstone,12:23 PM,Track 1,Summit Station,True
Dover,12:34 PM,Track 1,Summit Station,True
New York -SEC,12:36 PM,Track 2,Summit Station,True
Hoboken,12:42 PM,Track W,Summit Station,True
Hoboken,1:11 PM,Track 2,Summit Station,True
Gladstone,1:23 PM,Track 1,Summit Station,True
Dover,1:35 PM,Track 1,Summit Station,True
New York -SEC,1:36 PM,Track 2,Summit Station,True
Hoboken,1:42 PM,Track W,Summit Station,True
Gladstone,2:23 PM,Track 1,Summit Station,True
New York,2:36 PM,Track 2,Summit Station,True
Dover,2:42 PM,Track 1,Summit Station,True
Spring Valley,11:44 AM,Track Single,Teterboro Station,False
Spring Valley,12:54 PM,Track Single,Teterboro Station,False
Hoboken -SEC,1:11 PM,Track Single,Teterboro Station,False
Hoboken -SEC,2:06 PM,Track Single,Teterboro Station,False
Spring Valley,2:11 PM,Track Single,Teterboro Station,False
Hoboken -SEC,3:37 PM,Track Single,Teterboro Station,False
New Bridge Landing,3:40 PM,Track Single,Teterboro Station,False
Spring Valley,4:27 PM,Track Single,Teterboro Station,False
Hoboken -SEC,4:44 PM,Track Single,Teterboro Station,False
Spring Valley,5:02 PM,Track Single,Teterboro Station,False
Spring Valley,5:25 PM,Track Single,Teterboro Station,False
Spring Valley,6:02 PM,Track Single,Teterboro Station,False
Spring Valley,6:22 PM,Track Single,Teterboro Station,False
Spring Valley,6:41 PM,Track Single,Teterboro Station,False
Spring Valley,7:12 PM,Track Single,Teterboro Station,False
Spring Valley,7:52 PM,Track Single,Teterboro Station,False
Spring Valley,8:45 PM,Track Single,Teterboro Station,False
Hoboken -SEC,10:03 PM,Track Single,Teterboro Station,False
Spring Valley,10:07 PM,Track Single,Teterboro Station,False
Dover,3:08 PM,Track Single,Towaco Station,True
Denville,4:39 PM,Track Single,Towaco Station,True
Hackettstown,5:39 PM,Track Single,Towaco Station,True
Mount Olive,6:09 PM,Track Single,Towaco Station,True
Dover,6:51 PM,Track Single,Towaco Station,True
Lake Hopatcong,7:39 PM,Track Single,Towaco Station,True
Hackettstown,8:31 PM,Track Single,Towaco Station,True
Hackettstown,10:06 PM,Track Single,Towaco Station,True
Mount Olive,11:13 PM,Track Single,Towaco Station,True
Discharge Only,"10:25 AM
           2HR 30M LATE",Track 1,Trenton Transit Center,True
Saint Albans,"10:27 AM
           ALL ABOARD",Track 1,Trenton Transit Center,True
New York -SEC ✈,"10:41 AM
           ON TIME",Track 2,Trenton Transit Center,True
Philadelphia,"10:59 AM
           ON TIME",Track 5,Trenton Transit Center,True
Boston,"11:18 AM
           10 MINS LATE",Track 1,Trenton Transit Center,True
New York -SEC ✈,11:28 AM,Track 2,Trenton Transit Center,True
Norfolk,"11:29 AM
           10 MINS LATE",Track 4,Trenton Transit Center,True
New York,"11:39 AM
           ON TIME",Track 1,Trenton Transit Center,True
Pittsburgh,"11:46 AM
           ON TIME",Track 4,Trenton Transit Center,True
Philadelphia,"11:51 AM
           ON TIME",Track 5,Trenton Transit Center,True
New York -SEC ✈,"11:52 AM
           ON TIME",Track 2,Trenton Transit Center,True
Washington,"12:01 PM
           ON TIME",Track 4,Trenton Transit Center,True
New York,"12:18 PM
           ON TIME",Track 1,Trenton Transit Center,True
New York -SEC ✈,"12:21 PM
           ON TIME",Track 2,Trenton Transit Center,True
Newport News,"12:30 PM
           ON TIME",Track 4,Trenton Transit Center,True
New York,"12:46 PM
           ON TIME",Track 1,Trenton Transit Center,True
New York -SEC ✈,"12:50 PM
           ON TIME",Track 2,Trenton Transit Center,True
Harrisburg,"12:55 PM
           ON TIME",Track 4,Trenton Transit Center,True
Philadelphia,"12:59 PM
           ON TIME",Track 5,Trenton Transit Center,True
Hoboken -SEC,"10:38 AM
           in 8 Min",Track Single,Tuxedo Station,False
Port Jervis,11:03 AM,Track Single,Tuxedo Station,False
Hoboken -SEC,12:52 PM,Track Single,Tuxedo Station,False
Middletown,1:39 PM,Track Single,Tuxedo Station,False
Hoboken -SEC,2:52 PM,Track Single,Tuxedo Station,False
Middletown,3:38 PM,Track Single,Tuxedo Station,False
Hoboken -SEC,4:07 PM,Track Single,Tuxedo Station,False
Port Jervis,5:01 PM,Track Single,Tuxedo Station,False
Port Jervis,5:42 PM,Track Single,Tuxedo Station,False
Port Jervis,6:12 PM,Track Single,Tuxedo Station,False
Port Jervis,6:42 PM,Track Single,Tuxedo Station,False
Port Jervis,7:24 PM,Track Single,Tuxedo Station,False
Port Jervis,7:54 PM,Track Single,Tuxedo Station,False
Port Jervis,8:50 PM,Track Single,Tuxedo Station,False
Hoboken -SEC,10:40 PM,Track Single,Tuxedo Station,False
Port Jervis,11:18 PM,Track Single,Tuxedo Station,False
Port Jervis,1:58 AM,Track Single,Tuxedo Station,False
New York -SEC,"10:40 AM
           in 9 Min",Track 1,Union Station,True
Raritan,11:08 AM,Track 1,Union Station,True
New York -SEC,11:36 AM,Track 1,Union Station,True
Raritan,12:08 PM,Track 1,Union Station,True
New York -SEC,12:36 PM,Track 1,Union Station,True
High Bridge,1:10 PM,Track 1,Union Station,True
New York -SEC,1:37 PM,Track 1,Union Station,True
Raritan,2:08 PM,Track 1,Union Station,True
Newark Penn,2:37 PM,Track 1,Union Station,True
High Bridge,3:09 PM,Track 1,Union Station,True
Newark Penn,3:37 PM,Track 1,Union Station,True
Raritan,4:20 PM,Track 1,Union Station,True
Newark Penn,4:22 PM,Track 2,Union Station,True
High Bridge,4:54 PM,Track 1,Union Station,True
Newark Penn,4:58 PM,Track 2,Union Station,True
Raritan,5:25 PM,Track 1,Union Station,True
Raritan,5:53 PM,Track 1,Union Station,True
Newark Penn,6:11 PM,Track 1,Union Station,True
Raritan,6:14 PM,Track 1,Union Station,True
New York -SEC,10:58 AM,Track 2,Upper Montclair Station,False
MSU,11:12 AM,Track 1,Upper Montclair Station,False
New York -SEC,11:55 AM,Track 2,Upper Montclair Station,False
MSU,12:12 PM,Track 1,Upper Montclair Station,False
New York -SEC,12:55 PM,Track 2,Upper Montclair Station,False
MSU,1:12 PM,Track 1,Upper Montclair Station,False
New York -SEC,1:55 PM,Track 2,Upper Montclair Station,False
MSU,2:12 PM,Track 1,Upper Montclair Station,False
Dover,2:39 PM,Track 1,Upper Montclair Station,False
New York -SEC,2:53 PM,Track 2,Upper Montclair Station,False
MSU,3:34 PM,Track 1,Upper Montclair Station,False
Denville,4:12 PM,Track 1,Upper Montclair Station,False
New York -SEC,4:24 PM,Track 2,Upper Montclair Station,False
MSU,4:30 PM,Track 1,Upper Montclair Station,False
Hackettstown,5:11 PM,Track 1,Upper Montclair Station,False
New York -SEC,5:13 PM,Track 2,Upper Montclair Station,False
MSU,5:33 PM,Track 1,Upper Montclair Station,False
MSU,6:02 PM,Track 1,Upper Montclair Station,False
MSU,6:13 PM,Track 1,Upper Montclair Station,False
Hoboken -SEC,11:12 AM,Track 2,Waldwick Station,False
Hoboken -SEC,11:20 AM,Track 2,Waldwick Station,False
Suffern,11:38 AM,Track 3,Waldwick Station,False
Hoboken -SEC,12:13 PM,Track 2,Waldwick Station,False
Hoboken -SEC,12:19 PM,Track 2,Waldwick Station,False
Suffern,12:37 PM,Track 3,Waldwick Station,False
Hoboken -SEC,1:12 PM,Track 2,Waldwick Station,False
Hoboken -SEC,1:20 PM,Track 2,Waldwick Station,False
Suffern,1:28 PM,Track 3,Waldwick Station,False
Hoboken -SEC,2:10 PM,Track 2,Waldwick Station,False
Hoboken -SEC,2:15 PM,Track 2,Waldwick Station,False
Suffern,2:29 PM,Track 3,Waldwick Station,False
Hoboken -SEC,3:05 PM,Track 2,Waldwick Station,False
Suffern,3:25 PM,Track 3,Waldwick Station,False
Hoboken -SEC,3:27 PM,Track 2,Waldwick Station,False
Hoboken -SEC,3:37 PM,Track 2,Waldwick Station,False
Suffern,3:39 PM,Track 3,Waldwick Station,False
Suffern,4:12 PM,Track 3,Waldwick Station,False
Hoboken -SEC,4:24 PM,Track 2,Waldwick Station,False
New York -SEC,11:04 AM,Track 2,Walnut Street Station,False
MSU,11:07 AM,Track 1,Walnut Street Station,False
